household_key,first_alert,n_episodes,backlog,high_value,churned,alert_week
744,398.0,3,False,False,False,57
746,349.0,5,True,False,False,50
747,351.0,12,False,False,False,51
748,349.0,7,True,False,False,50
749,365.0,5,False,False,False,53
751,349.0,1,True,False,False,50
752,416.0,5,False,False,False,60
753,390.0,3,False,False,False,56
754,480.0,1,False,False,False,69
755,392.0,6,False,False,False,56
756,364.0,2,False,False,False,52
757,375.0,1,False,False,False,54
759,349.0,4,True,False,False,50
760,385.0,4,False,False,True,55
761,359.0,4,False,True,False,52
762,370.0,3,False,True,False,53
763,364.0,6,False,False,False,52
764,403.0,2,False,False,False,58
765,349.0,4,True,False,False,50
766,350.0,3,False,True,False,50
769,349.0,3,True,False,False,50
770,357.0,6,False,False,False,51
771,372.0,3,False,True,False,54
772,358.0,4,False,False,False,52
775,361.0,6,False,False,True,52
776,368.0,2,False,True,False,53
778,362.0,5,False,False,False,52
779,349.0,7,True,False,False,50
780,362.0,4,False,False,False,52
781,400.0,3,False,False,False,58
782,382.0,2,False,False,False,55
783,355.0,1,False,False,False,51
784,361.0,10,False,False,False,52
785,349.0,6,True,False,False,50
786,368.0,15,False,True,False,53
787,360.0,10,False,False,False,52
788,362.0,8,False,True,False,52
792,349.0,2,True,False,False,50
793,354.0,3,False,False,False,51
794,374.0,2,False,False,False,54
795,361.0,5,False,False,False,52
796,376.0,3,False,False,False,54
797,383.0,4,False,False,False,55
799,358.0,6,False,False,False,52
800,350.0,16,False,True,False,50
801,377.0,3,False,False,False,54
802,380.0,6,False,False,False,55
804,375.0,8,False,True,False,54
805,394.0,6,False,False,False,57
806,349.0,6,True,True,False,50
807,434.0,4,False,False,False,62
808,349.0,19,True,False,False,50
810,374.0,2,False,False,False,54
811,349.0,5,True,False,False,50
812,358.0,8,False,False,False,52
813,349.0,5,True,False,False,50
814,349.0,1,True,False,False,50
815,349.0,4,True,False,False,50
816,368.0,4,False,False,False,53
817,349.0,5,True,False,False,50
820,350.0,18,False,True,False,50
822,364.0,6,False,False,False,52
823,362.0,10,False,False,False,52
824,407.0,1,False,False,False,59
825,390.0,9,False,True,False,56
828,533.0,1,False,False,True,77
830,349.0,12,True,False,False,50
831,435.0,1,False,True,False,63
833,349.0,6,True,False,False,50
834,349.0,2,True,False,False,50
835,349.0,3,False,False,False,50
836,354.0,4,False,False,False,51
837,349.0,2,True,False,False,50
838,349.0,3,True,False,False,50
840,378.0,5,False,True,False,54
841,358.0,5,False,False,False,52
842,352.0,15,False,False,False,51
843,357.0,5,False,False,False,51
844,349.0,8,False,True,False,50
845,429.0,3,False,True,False,62
847,349.0,1,True,False,False,50
849,406.0,5,False,True,False,58
850,356.0,6,False,False,False,51
851,411.0,1,False,False,False,59
852,353.0,9,False,False,False,51
853,359.0,9,False,True,False,52
854,364.0,6,False,False,False,52
855,349.0,2,True,True,False,50
856,445.0,3,False,False,False,64
857,365.0,2,False,False,False,53
858,349.0,4,True,False,False,50
859,349.0,8,True,True,False,50
860,349.0,1,True,False,False,50
861,373.0,2,False,False,False,54
862,356.0,5,False,False,False,51
