household_key,drop_week,dropped_rolling,drop70_holdout,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0,sig_week_2.5,lead_2.5
1557,62.0,True,True,63.0,-1.0,64.0,-2.0,64.0,-2.0
1563,51.0,True,False,51.0,0.0,57.0,-6.0,57.0,-6.0
1579,,False,False,51.0,,54.0,,54.0,
1584,75.0,True,False,59.0,16.0,64.0,11.0,64.0,11.0
1585,53.0,True,False,54.0,-1.0,56.0,-3.0,56.0,-3.0
1588,88.0,True,True,51.0,37.0,51.0,37.0,51.0,37.0
1590,55.0,True,False,51.0,4.0,51.0,4.0,51.0,4.0
1595,72.0,True,True,62.0,10.0,68.0,4.0,93.0,-21.0
1598,81.0,True,False,84.0,-3.0,84.0,-3.0,,
1602,62.0,True,False,55.0,7.0,,,,
1609,,False,False,54.0,,55.0,,,
1612,88.0,True,False,51.0,37.0,55.0,33.0,55.0,33.0
1613,,False,False,89.0,,,,,
1620,,False,False,56.0,,63.0,,79.0,
1630,,False,False,51.0,,51.0,,,
1631,,False,False,53.0,,53.0,,,
1633,,False,False,51.0,,52.0,,,
1634,57.0,True,True,51.0,6.0,59.0,-2.0,59.0,-2.0
1640,53.0,True,True,51.0,2.0,52.0,1.0,56.0,-3.0
1653,57.0,True,False,51.0,6.0,60.0,-3.0,,
1662,92.0,True,False,51.0,41.0,52.0,40.0,98.0,-6.0
1673,51.0,True,True,53.0,-2.0,53.0,-2.0,56.0,-5.0
1675,76.0,True,True,78.0,-2.0,,,,
1677,,False,False,51.0,,51.0,,52.0,
1693,78.0,True,False,55.0,23.0,,,,
1694,,False,False,55.0,,72.0,,,
1707,51.0,True,True,51.0,0.0,51.0,0.0,52.0,-1.0
1710,66.0,True,True,51.0,15.0,93.0,-27.0,,
1722,74.0,True,True,51.0,23.0,51.0,23.0,51.0,23.0
1762,,False,False,51.0,,51.0,,53.0,
1764,,False,False,53.0,,56.0,,,
1767,67.0,True,True,54.0,13.0,56.0,11.0,58.0,9.0
1769,57.0,True,False,51.0,6.0,51.0,6.0,,
1770,63.0,True,True,51.0,12.0,52.0,11.0,62.0,1.0
1775,,False,False,85.0,,94.0,,,
1776,51.0,True,True,51.0,0.0,51.0,0.0,56.0,-5.0
1778,65.0,True,True,59.0,6.0,70.0,-5.0,70.0,-5.0
1788,,False,False,55.0,,,,,
1795,,False,False,70.0,,78.0,,,
1803,77.0,True,True,56.0,21.0,86.0,-9.0,,
1804,,False,False,51.0,,69.0,,,
1807,66.0,True,True,55.0,11.0,55.0,11.0,55.0,11.0
1822,51.0,True,True,51.0,0.0,51.0,0.0,54.0,-3.0
1823,,False,False,51.0,,63.0,,,
1828,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
1829,67.0,True,True,52.0,15.0,76.0,-9.0,86.0,-19.0
1835,56.0,True,False,58.0,-2.0,58.0,-2.0,,
1845,56.0,True,True,55.0,1.0,61.0,-5.0,72.0,-16.0
1848,58.0,True,True,52.0,6.0,68.0,-10.0,68.0,-10.0
1850,53.0,True,False,54.0,-1.0,54.0,-1.0,54.0,-1.0
1852,69.0,True,True,57.0,12.0,57.0,12.0,71.0,-2.0
1854,54.0,True,False,51.0,3.0,51.0,3.0,54.0,0.0
1864,63.0,True,False,54.0,9.0,65.0,-2.0,65.0,-2.0
1865,73.0,True,False,60.0,13.0,,,,
1892,63.0,True,True,60.0,3.0,62.0,1.0,65.0,-2.0
1899,,False,False,,,,,,
1900,51.0,True,False,54.0,-3.0,54.0,-3.0,54.0,-3.0
1901,56.0,True,True,51.0,5.0,51.0,5.0,51.0,5.0
1906,73.0,True,False,51.0,22.0,79.0,-6.0,,
1907,72.0,True,False,51.0,21.0,52.0,20.0,81.0,-9.0
1917,52.0,True,False,51.0,1.0,51.0,1.0,53.0,-1.0
1935,96.0,True,False,54.0,42.0,,,,
1943,59.0,True,True,51.0,8.0,62.0,-3.0,64.0,-5.0
1944,,False,False,58.0,,58.0,,60.0,
1947,,False,False,51.0,,64.0,,66.0,
1955,64.0,True,False,51.0,13.0,52.0,12.0,67.0,-3.0
1971,51.0,True,True,53.0,-2.0,59.0,-8.0,59.0,-8.0
1975,,False,False,54.0,,68.0,,69.0,
1985,,False,False,74.0,,75.0,,,
1995,51.0,True,False,52.0,-1.0,52.0,-1.0,52.0,-1.0
2004,,False,False,53.0,,81.0,,81.0,
2007,,False,False,62.0,,63.0,,,
2012,,False,False,53.0,,,,,
2015,,False,False,64.0,,,,,
2019,81.0,True,False,51.0,30.0,54.0,27.0,61.0,20.0
2020,69.0,True,False,53.0,16.0,69.0,0.0,70.0,-1.0
2022,,False,False,51.0,,58.0,,,
2062,51.0,True,True,51.0,0.0,51.0,0.0,67.0,-16.0
2076,60.0,True,False,56.0,4.0,58.0,2.0,58.0,2.0
2079,67.0,True,True,55.0,12.0,55.0,12.0,55.0,12.0
2080,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
2083,57.0,True,False,52.0,5.0,82.0,-25.0,,
2085,,False,False,52.0,,61.0,,67.0,
2087,,False,False,76.0,,,,,
2097,82.0,True,True,69.0,13.0,84.0,-2.0,84.0,-2.0
2110,,False,False,69.0,,,,,
2115,,False,False,52.0,,52.0,,57.0,
2116,91.0,True,False,51.0,40.0,53.0,38.0,72.0,19.0
2129,,False,False,62.0,,62.0,,,
