household_key,alert_day,week,high_value
281,499,72,False
282,382,55,False
282,552,79,False
283,353,51,False
283,462,66,False
283,491,71,False
284,368,53,False
284,415,60,False
284,460,66,False
285,359,52,False
285,371,53,False
285,386,56,False
285,416,60,False
285,461,66,False
285,514,74,False
285,547,79,False
286,467,67,False
286,498,72,False
287,392,56,False
287,403,58,False
287,417,60,False
287,443,64,False
287,479,69,False
287,501,72,False
287,509,73,False
287,517,74,False
287,548,79,False
287,557,80,False
288,387,56,False
288,439,63,False
288,462,66,False
289,359,52,False
289,391,56,False
289,405,58,False
289,424,61,False
289,444,64,False
289,459,66,False
289,487,70,False
289,508,73,False
289,516,74,False
289,539,77,False
289,554,80,False
290,512,74,False
292,362,52,False
292,370,53,False
292,390,56,False
292,411,59,False
292,439,63,False
292,456,66,False
292,510,73,False
292,518,74,False
292,529,76,False
293,535,77,False
293,554,80,False
294,352,51,False
294,374,54,False
294,416,60,False
294,456,66,False
294,465,67,False
294,485,70,False
294,492,71,False
294,508,73,False
294,534,77,False
294,544,78,False
294,555,80,False
297,349,50,False
297,380,55,False
297,392,56,False
297,418,60,False
297,436,63,False
297,453,65,False
297,471,68,False
297,491,71,False
297,500,72,False
297,528,76,False
297,536,77,False
297,551,79,False
300,356,51,True
300,380,55,True
300,389,56,True
300,414,60,True
300,427,61,True
300,446,64,True
300,470,68,True
300,492,71,True
300,511,73,True
300,526,76,True
300,551,79,True
302,359,52,False
302,381,55,False
302,402,58,False
302,454,65,False
302,473,68,False
303,374,54,False
303,437,63,False
304,350,50,True
304,429,62,True
304,472,68,True
304,519,75,True
305,349,50,False
305,391,56,False
305,430,62,False
305,468,67,False
305,524,75,False
305,552,79,False
306,517,74,False
307,538,77,False
308,367,53,False
308,522,75,False
309,471,68,False
311,464,67,False
312,460,66,False
317,378,54,True
317,447,64,True
317,557,80,True
318,423,61,False
318,512,74,False
318,547,79,False
319,389,56,False
319,410,59,False
319,450,65,False
319,533,77,False
321,383,55,True
321,422,61,True
321,439,63,True
321,464,67,True
321,513,74,True
321,556,80,True
322,349,50,False
322,362,52,False
322,383,55,False
322,405,58,False
322,457,66,False
322,472,68,False
322,493,71,False
322,533,77,False
324,369,53,True
324,437,63,True
325,361,52,False
325,472,68,False
325,512,74,False
327,349,50,False
327,424,61,False
328,494,71,True
331,399,57,False
331,451,65,False
331,534,77,False
332,412,59,False
332,446,64,False
332,463,67,False
332,500,72,False
333,349,50,False
333,422,61,False
333,462,66,False
334,359,52,False
334,382,55,False
334,404,58,False
334,413,59,False
334,433,62,False
334,469,67,False
334,494,71,False
334,499,72,False
334,505,73,False
334,512,74,False
334,531,76,False
334,536,77,False
334,548,79,False
334,555,80,False
335,500,72,False
335,524,75,False
335,535,77,False
336,349,50,False
336,365,53,False
336,430,62,False
336,485,70,False
336,542,78,False
337,355,51,False
337,383,55,False
337,408,59,False
337,460,66,False
337,482,69,False
337,516,74,False
