household_key,median_gap,recent3_mean_gap,open_gap,widening
2314,6.0,8.666666666666666,10,False
2317,5.0,4.333333333333333,0,False
2318,1.0,14.333333333333334,83,True
2322,3.0,2.6666666666666665,6,False
2328,3.0,2.6666666666666665,3,False
2334,2.0,4.666666666666667,1,True
2337,1.0,3.0,0,True
2341,2.0,7.333333333333333,8,True
2351,3.0,4.666666666666667,0,True
2360,2.0,4.333333333333333,0,True
2364,5.0,5.333333333333333,3,False
2367,3.0,5.0,64,True
2374,6.5,12.333333333333334,22,True
2395,3.0,1.6666666666666667,10,False
2400,4.0,2.6666666666666665,0,False
2412,2.0,2.0,3,False
2421,8.0,5.333333333333333,0,False
2425,4.5,7.333333333333333,0,True
2427,3.0,3.0,1,False
2437,6.0,5.0,6,False
2445,3.0,5.0,13,True
2447,2.0,4.0,16,True
2448,4.0,2.3333333333333335,0,False
2449,2.0,3.3333333333333335,2,True
2451,4.0,12.666666666666666,1,True
2459,1.0,9.333333333333334,1,True
2462,3.0,3.3333333333333335,0,False
2467,2.0,1.0,0,False
2479,5.5,4.333333333333333,1,False
2484,5.0,5.0,2,False
2489,5.0,2.6666666666666665,3,False
2497,3.0,3.3333333333333335,5,False
