household_key,base_8w_avg_cats,eval_end_8w_cats,cat_ratio,cat_fire,widen_15,drop70
1501,84.62962962962963,74,0.874398249452954,False,False,False
1505,69.62962962962963,67,0.9622340425531914,False,False,True
1510,84.5925925925926,96,1.1348511383537654,False,False,False
1515,75.81481481481481,14,0.18466047874938937,True,True,True
1527,97.11111111111111,100,1.0297482837528604,False,False,False
1528,100.62962962962963,65,0.6459330143540669,True,True,False
1529,76.33333333333333,82,1.074235807860262,False,False,False
1535,66.55555555555556,78,1.1719532554257095,False,False,False
1536,61.074074074074076,39,0.6385688295936931,True,False,False
1541,79.66666666666667,96,1.205020920502092,False,False,False
1548,80.4074074074074,9,0.11192998618148318,True,True,True
1557,60.407407407407405,39,0.6456161863887186,True,False,True
1563,62.333333333333336,47,0.7540106951871658,False,False,False
1579,90.96296296296296,92,1.011400651465798,False,False,False
1584,57.25925925925926,69,1.2050452781371281,False,False,False
1585,69.55555555555556,76,1.0926517571884984,False,False,False
1588,68.70370370370371,80,1.164420485175202,False,True,True
1590,70.51851851851852,63,0.8933823529411765,False,True,False
1595,57.888888888888886,25,0.43186180422264875,True,True,True
1598,71.29629629629629,110,1.542857142857143,False,False,False
1602,80.77777777777777,66,0.8170563961485557,False,False,False
1609,108.85185185185185,114,1.0472949982987412,False,False,False
1612,86.29629629629629,71,0.8227467811158798,False,True,False
1613,48.18518518518518,73,1.514988470407379,False,False,False
1620,83.4074074074074,87,1.0430728241563056,False,False,False
1630,60.55555555555556,78,1.2880733944954128,False,False,False
1631,91.22222222222223,90,0.9866017052375151,False,False,False
1633,91.44444444444444,101,1.1044957472660997,False,True,False
1634,76.07407407407408,19,0.24975657254138267,True,True,True
1640,46.22222222222222,1,0.021634615384615384,True,True,True
1653,108.18518518518519,110,1.016775077028415,False,False,False
1662,89.0,85,0.9550561797752809,False,True,False
1673,76.66666666666667,0,0.0,True,True,True
1675,68.0,53,0.7794117647058824,False,False,True
1677,92.85185185185185,97,1.0446749102512964,False,False,False
1693,89.77777777777777,83,0.9245049504950495,False,False,False
1694,77.48148148148148,74,0.9550669216061185,False,False,False
1707,77.85185185185185,73,0.9376784015223597,False,True,True
1710,84.81481481481481,69,0.8135371179039301,False,False,True
1722,83.22222222222223,91,1.0934579439252337,False,False,True
1762,108.14814814814815,104,0.9616438356164383,False,True,False
1764,61.51851851851852,121,1.966887417218543,False,False,False
1767,115.5925925925926,45,0.3892983018263377,True,True,True
1769,65.85185185185185,66,1.002249718785152,False,False,False
1770,98.74074074074075,31,0.313953488372093,True,True,True
1775,74.33333333333333,78,1.0493273542600898,False,False,False
