household_key,base_visits,base_spend,median_gap,p90_gap,gap_iqr,high_value,churned
1222,71,2906.88,2.0,7.0,2.75,True,False
1223,14,274.92,9.0,36.60000000000001,16.0,False,False
1224,33,1182.72,6.0,12.0,7.0,False,False
1225,23,396.1500000000001,9.0,22.400000000000013,10.5,False,False
1226,28,2200.7799999999997,8.0,14.0,6.5,True,False
1227,18,1021.01,10.0,22.8,13.0,False,False
1228,147,3734.5099999999998,1.0,3.0,1.0,True,False
1229,102,5767.240000000002,2.0,4.0,1.0,True,False
1231,18,622.4100000000001,14.0,16.0,2.0,False,False
1232,10,299.57,24.0,34.400000000000006,15.0,False,True
1234,29,2171.38,6.0,12.3,5.25,True,False
1236,86,2230.4900000000002,2.0,5.0,3.0,True,False
1237,9,443.69000000000005,14.5,27.299999999999997,15.75,False,False
1238,19,2223.2899999999995,7.5,27.000000000000014,7.75,True,False
1239,13,1065.6599999999999,17.0,35.1,8.5,False,False
1240,52,3188.89,3.0,9.0,6.0,True,False
1241,22,430.45000000000005,8.0,15.0,8.0,False,False
1242,21,680.27,9.0,21.1,7.5,False,False
1243,8,74.82,31.0,40.400000000000006,13.0,False,False
1244,12,242.13,15.0,34.0,16.5,False,False
1245,56,1462.67,3.0,9.0,3.5,False,False
1246,31,2176.7,6.0,13.100000000000001,6.0,True,False
1247,40,2496.6,6.0,9.200000000000003,4.0,True,False
1248,58,4417.89,4.0,7.0,3.0,True,False
1251,33,176.91,3.0,13.0,6.75,False,False
1252,17,353.69000000000005,7.5,29.5,6.25,False,False
1253,8,455.2,1.0,8.800000000000002,4.5,False,False
1256,59,1931.1399999999999,3.5,7.0,3.0,False,False
1258,65,858.26,2.0,7.0,3.25,False,False
1259,12,514.65,19.0,24.0,8.0,False,False
1260,45,4026.2,4.5,8.700000000000003,5.0,True,False
1261,50,1070.36,4.0,8.200000000000003,4.0,False,False
1263,56,2980.14,3.0,7.0,4.0,True,False
1264,30,2435.1599999999994,6.0,13.799999999999997,4.0,True,False
1265,14,561.19,14.0,32.60000000000001,12.0,False,False
1266,35,765.8099999999998,6.0,13.7,7.75,False,False
1267,21,550.62,13.0,15.500000000000007,7.5,False,False
1268,24,1223.85,7.0,18.6,7.5,False,False
1269,32,1228.9,5.0,14.0,7.0,False,False
1270,16,708.99,6.0,18.599999999999998,6.0,False,False
1271,43,1430.0100000000002,5.0,10.799999999999997,3.0,False,False
1272,86,3221.5000000000005,2.0,5.0,2.0,True,False
1274,105,4827.560000000001,2.0,5.0,2.0,True,False
1276,11,424.27,11.0,36.9,9.25,False,False
1277,97,2444.9099999999994,2.0,4.0,2.0,True,False
1278,8,274.79,15.0,70.4,52.0,False,False
1279,68,1737.98,2.0,7.0,3.0,False,False
1282,64,2127.04,3.0,7.0,3.5,True,False
1283,14,133.57999999999998,12.0,34.20000000000001,10.0,False,False
1284,12,140.71,8.0,36.0,25.0,False,False
1285,44,1365.6100000000001,4.0,10.800000000000004,3.0,False,False
1286,15,449.06,14.5,25.60000000000001,12.75,False,False
1287,32,1064.85,7.0,12.0,5.5,False,False
1288,11,462.47999999999996,9.0,27.799999999999976,14.75,False,False
1289,132,496.03999999999996,1.0,3.0,1.0,False,False
1291,36,1080.68,6.0,14.600000000000001,3.5,False,False
1293,40,457.02,5.0,14.200000000000003,4.5,False,False
1294,22,1560.64,6.0,22.0,12.0,False,False
1296,29,750.12,7.0,14.0,1.5,False,False
1297,33,510.95000000000005,3.5,12.700000000000006,5.25,False,False
1298,12,325.12,16.0,20.0,6.5,False,False
1299,38,1512.57,5.0,10.0,4.0,False,False
1300,20,215.54,10.0,24.2,12.5,False,False
1301,42,951.7900000000002,5.0,11.0,4.0,False,False
1302,10,166.99,14.0,35.8,23.0,False,False
1303,45,1643.67,3.0,10.700000000000003,5.0,False,False
1304,26,256.94,6.0,22.000000000000007,8.0,False,False
1305,116,3567.58,1.0,3.0,1.0,True,False
1306,38,1081.6799999999998,3.0,18.4,4.0,False,False
1307,53,659.3600000000001,2.5,10.0,5.0,False,False
1308,8,119.64999999999999,23.0,34.400000000000006,11.5,False,False
1310,11,307.28,15.5,45.3,31.0,False,False
1312,61,3038.4,3.0,8.100000000000001,3.0,True,False
1314,99,4078.94,2.0,5.0,2.0,True,False
1316,19,1552.9100000000003,11.5,22.800000000000004,9.75,False,False
1317,75,1768.03,3.0,5.0,2.0,False,False
1318,22,1993.46,8.0,20.0,7.0,True,False
1319,16,430.13,15.0,25.799999999999997,12.0,False,False
1321,67,660.01,2.0,5.5,2.0,False,False
1324,12,381.88,23.0,33.0,21.5,False,False
1326,56,1225.22,3.0,9.600000000000001,3.0,False,False
1328,11,162.47,20.0,32.599999999999994,19.5,False,False
1330,28,772.2199999999999,5.0,16.400000000000002,6.5,False,False
1331,57,1060.45,3.0,8.5,3.25,False,False
1332,18,658.8100000000001,11.0,23.8,10.0,False,False
1333,40,2438.6600000000003,5.0,12.0,6.5,True,False
1334,16,103.76,3.0,17.599999999999994,8.5,False,False
1335,9,248.05,18.5,58.699999999999996,33.75,False,False
1336,49,2146.57,4.0,9.0,4.25,True,False
1337,67,4157.15,3.0,5.5,3.0,True,False
1344,14,1196.8799999999999,13.0,28.0,20.0,False,False
1345,22,522.0200000000001,6.0,19.0,6.0,False,False
1346,16,230.79000000000002,8.0,32.8,20.0,False,False
1347,28,614.6500000000001,7.0,15.0,7.5,False,False
1348,11,117.83,10.0,41.399999999999984,19.75,False,False
1349,71,2293.2800000000007,3.0,6.100000000000001,3.0,True,False
1350,45,780.34,2.0,10.400000000000006,4.25,False,False
1351,27,162.43,7.0,20.0,7.0,False,False
1352,37,2031.7799999999997,5.0,10.5,3.25,True,False
1353,39,1147.31,5.0,10.300000000000004,5.0,False,False
1354,23,673.55,9.5,16.0,9.25,False,False
1356,22,680.49,9.0,14.0,4.0,False,False
1357,32,840.8100000000001,7.0,9.0,0.0,False,False
1359,25,421.82000000000005,8.0,21.7,8.25,False,False
1360,10,244.12,20.0,25.2,10.0,False,False
1362,20,486.53000000000003,10.0,22.199999999999996,15.5,False,False
1364,42,845.2900000000001,4.0,10.0,7.0,False,False
1366,88,1266.9,2.0,5.0,2.0,False,False
1367,58,3048.1200000000003,3.0,7.399999999999999,5.0,True,False
1369,37,859.4500000000002,4.5,15.0,6.25,False,False
1370,30,3003.06,7.0,14.0,1.0,True,False
1371,15,402.69,9.5,25.200000000000006,8.5,False,True
1372,9,386.89,19.0,51.39999999999999,19.0,False,False
1373,13,164.0,16.0,28.8,16.25,False,False
1374,31,779.6900000000002,5.5,15.0,5.75,False,False
1375,38,1461.3799999999999,5.0,12.399999999999999,6.0,False,False
1376,53,3343.99,4.0,6.899999999999999,2.0,True,False
1377,14,277.73,10.0,27.800000000000004,11.0,False,False
1378,46,2337.06,5.0,8.0,4.0,True,False
1379,134,3000.53,1.0,3.0,1.0,True,False
1381,19,62.38000000000001,4.0,33.0,15.25,False,False
1382,56,1796.8300000000002,4.0,8.0,4.0,False,False
1383,48,554.0400000000001,4.0,9.399999999999999,4.0,False,False
1385,46,2453.3600000000006,3.0,10.600000000000001,6.0,True,False
1387,19,696.69,9.5,21.900000000000002,10.5,False,False
1388,49,2301.32,4.5,9.0,4.25,True,False
1389,15,890.7300000000001,7.0,16.1,10.5,False,False
1390,29,1126.31,3.0,13.3,5.25,False,False
1391,35,2276.41,6.5,14.0,7.0,True,False
1392,50,1177.27,3.0,8.200000000000003,5.0,False,False
1393,63,1935.5600000000002,3.0,7.0,3.0,False,False
1394,54,1692.9000000000003,3.0,8.600000000000009,3.0,False,False
1396,100,3569.15,2.0,4.0,2.0,True,False
1397,85,1906.6300000000003,2.0,6.0,3.0,False,False
