segment_type,segment_value,promo_group,pair_weeks,products,stores,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_store_sales_share_rate,avg_category_sales_share_rate,none_avg_sales,none_incidence,none_sales_per_visitor,none_buyer_penetration,none_basket_share,none_category_sales_share,raw_sales_lift_vs_none_pct,incidence_diff_pp,sales_per_visitor_lift_pct,buyer_penetration_lift_pct,basket_share_lift_pct,category_sales_share_lift_pct
commodity_top30,FROZEN PIZZA,both,3977,102,93,581,1.0520945436258486,0.0,0.28187075685189844,0.3085240130751823,0.05974194249679479,0.01735361076337355,0.010259687455614475,0.001125496238080427,0.05456093172105913,,,,,,,,,,,,
commodity_top30,FRZN MEAT/MEAT DINNERS,display_only,3464,135,75,397,0.4758429561200923,0.0,0.20409930715935334,0.21651270207852194,0.028105547621905026,0.012599337133738701,0.007458835387538577,0.0005985718239626125,0.032578703138173244,,,,,,,,,,,,
commodity_top30,FRZN MEAT/MEAT DINNERS,mailer_only,6938,270,92,825,0.6437993658114728,0.0,0.22672239838570193,0.238108965119631,0.034590101420752015,0.01247571410841351,0.007449592869319302,0.0006842730778037737,0.028230103843886183,,,,,,,,,,,,
commodity_top30,FRZN MEAT/MEAT DINNERS,both,2465,187,85,565,0.7140973630831637,0.0,0.25882352941176473,0.2823529411764706,0.0379346152859373,0.014952935892818769,0.008973771061840346,0.0007645161459500076,0.03450779061934572,,,,,,,,,,,,
commodity_top30,GRAPES,mailer_only,3191,6,106,293,1.892246944531495,0.0,0.4935756816045127,0.7959887182701347,0.10761164971512573,0.045319457942987966,0.02719762332958053,0.0020728203446735934,0.3768573352587783,,,,,,,,,,,,
commodity_top30,HOT DOGS,display_only,1536,21,86,208,0.6604036458333334,0.0,0.24348958333333334,0.2858072916666667,0.03694283691162639,0.015640919195315555,0.008864574774654708,0.0007512256621219206,0.1636178301056295,,,,,,,,,,,,
commodity_top30,HOT DOGS,mailer_only,2469,22,95,289,0.7386107735925486,0.0,0.2507087889833941,0.28554070473876064,0.04331327279377491,0.016639379034912225,0.009736389854400368,0.0008693031694032102,0.18835312073722135,,,,,,,,,,,,
commodity_top30,HOT DOGS,both,2318,23,91,268,1.2260785159620378,0.0,0.37791199309749784,0.4685073339085418,0.07090435576290204,0.02713380982921128,0.015644262050092134,0.0013193805801209053,0.2817184337274185,,,,,,,,,,,,
commodity_top30,ICE CREAM/MILK/SHERBTS,display_only,1361,80,68,179,0.8082880235121239,0.0,0.18368846436443792,0.18736223365172666,0.047100831449598306,0.011080401048439142,0.006310483730722457,0.0008635379639999887,0.06936178023014174,,,,,,,,,,,,
commodity_top30,ICE CREAM/MILK/SHERBTS,mailer_only,2194,113,74,259,0.9677347310847767,0.0,0.2944393801276208,0.304922515952598,0.05789259638358864,0.017911420908761053,0.011342450071768298,0.0011525915487357527,0.0889679985931742,,,,,,,,,,,,
commodity_top30,ICE CREAM/MILK/SHERBTS,both,1152,91,76,235,0.9803211805555555,0.0,0.3385416666666667,0.3836805555555556,0.0574825620011252,0.022298248886957986,0.014110514528636034,0.0011669889550762942,0.09638228898739887,,,,,,,,,,,,
commodity_top30,LUNCHMEAT,display_only,1207,73,66,179,0.7939022369511187,0.0,0.2195526097763049,0.2510356255178128,0.04134126556929643,0.013001435794294493,0.007378982529524857,0.0007836244566783435,0.06913925742923258,,,,,,,,,,,,
commodity_top30,LUNCHMEAT,mailer_only,2929,119,90,456,0.6760737453055654,0.0,0.23250256060088767,0.24820757937862753,0.037437610569908804,0.013748932005385833,0.008098448023838746,0.0007002030619108486,0.05892678539213939,,,,,,,,,,,,
commodity_top30,LUNCHMEAT,both,1151,98,83,321,1.0881407471763689,0.0,0.366637706342311,0.42137271937445697,0.056796636917635986,0.02216089850421928,0.013464995271220739,0.0011138722784116992,0.09167448180582266,,,,,,,,,,,,
commodity_top30,MEAT - MISC,display_only,5456,24,78,246,1.497938049853372,0.0,0.1750366568914956,0.1909824046920821,0.0806794765152719,0.01036771961518567,0.006101455176536745,0.0015500840286859893,0.14174602562553326,,,,,,,,,,,,
commodity_top30,MEAT - MISC,mailer_only,1635,19,80,238,1.9508929663608578,0.0,0.22568807339449543,0.25321100917431194,0.11344502332195466,0.014725191536889773,0.008766587181058477,0.002124098899628897,0.19916257084732783,,,,,,,,,,,,
commodity_top30,MEAT - MISC,both,1692,18,74,226,2.417198581560286,0.0,0.274822695035461,0.3108747044917258,0.13006233710981793,0.016726542458856044,0.009546223341532921,0.00250148664609183,0.22158344859804902,,,,,,,,,,,,
commodity_top30,MEAT - SHELF STABLE,none,1118,26,64,201,0.5857871198568873,0.0,0.2334525939177102,0.25760286225402507,0.03218198077868938,0.014607243592993329,0.008226849425029274,0.0005951528743527995,0.0757512284314408,0.5857871198568873,0.2334525939177102,0.03218198077868938,0.014607243592993329,0.008226849425029274,0.0757512284314408,0.0,0.0,0.0,0.0,0.0,0.0
commodity_top30,MEAT - SHELF STABLE,display_only,4143,42,86,377,0.571361332367849,0.0,0.21675114651218924,0.23557808351436157,0.03358420032793014,0.013859850850579631,0.00798726879687554,0.0006326694582262863,0.08753830365795467,0.5857871198568873,0.2334525939177102,0.03218198077868938,0.014607243592993329,0.008226849425029274,0.0757512284314408,-2.462633096569722,-1.6701447405520957,4.357157375997489,-5.116589845685882,-2.9121795693116237,15.56024300936829
commodity_top30,MEAT - SHELF STABLE,mailer_only,2718,48,89,409,0.46750183958793234,0.0,0.20750551876379691,0.2299484915378955,0.02523532990455749,0.012625175089347927,0.0072765273640264284,0.0004678385175552401,0.06118780954388819,0.5857871198568873,0.2334525939177102,0.03218198077868938,0.014607243592993329,0.008226849425029274,0.0757512284314408,-20.192536889143785,-2.5947075153913284,-21.585529249746816,-13.5690795530797,-11.551470215458137,-19.22532371964547
commodity_top30,MEAT - SHELF STABLE,both,1729,30,87,322,0.7701214574898785,0.0,0.3100057836899942,0.3597455176402545,0.04415533859585351,0.020835209844931944,0.012115951719035113,0.0008222709443870362,0.0988590500508262,0.5857871198568873,0.2334525939177102,0.03218198077868938,0.014607243592993329,0.008226849425029274,0.0757512284314408,31.467803129236714,7.655318977228401,37.205161172343914,42.636149745089426,47.27328887500577,30.50488037999184
