WEEK_NO,promo_group,pair_weeks,products,stores,total_sales,avg_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate
60,both,1184,184,83,1719.45,1.4522381756756757,0.3032094594594595,0.36993243243243246,0.07733080051633533,0.019724310211543798,0.011638615959644777
61,none,206,93,54,90.39000000000001,0.43878640776699035,0.21844660194174756,0.22815533980582525,0.022201384833175374,0.01193868549109,0.0061834116269750185
61,display_only,2413,729,88,1625.8400000000006,0.6737836717778701,0.21840033153750518,0.2602569415665147,0.0375800080055429,0.015012894774910326,0.00881745739135725
61,mailer_only,4130,553,89,4640.3099999999995,1.1235617433414042,0.31404358353510897,0.43559322033898307,0.06413161242492119,0.024629328706826336,0.014654662693425653
61,both,1464,288,88,1151.5599999999997,0.7865846994535517,0.3005464480874317,0.3476775956284153,0.04292814741096402,0.019469870949636214,0.01144592355134065
62,none,250,110,61,83.02000000000001,0.33208000000000004,0.172,0.196,0.019433483582350454,0.011810762245437168,0.0067878433941873486
62,display_only,2606,771,89,1930.4700000000003,0.7407789716039909,0.2175748273215656,0.2528779739063699,0.04030207213034075,0.014179673013121527,0.00868562093523342
62,mailer_only,2377,413,92,3372.9300000000003,1.418986116954144,0.30710980227177115,0.41396718552797646,0.0796677661085076,0.023049345795754534,0.013768527491718925
62,both,1514,191,89,3159.709999999998,2.086994715984147,0.39365918097754293,0.5990752972258917,0.12170202707063014,0.03462539588398351,0.021484143242863334
63,none,86,66,34,41.660000000000004,0.4844186046511628,0.2441860465116279,0.27906976744186046,0.021465926595612972,0.01204514124030591,0.007379052057927386
63,display_only,1830,625,88,1476.6400000000003,0.8069071038251368,0.21967213114754097,0.26010928961748636,0.042274355354200766,0.014215730222447001,0.008348692610712168
63,mailer_only,6489,893,88,6446.620000000003,0.9934689474495304,0.27384805054707967,0.36662043458159965,0.05493770606181064,0.020138058562830505,0.011848976734788137
63,both,1865,331,88,1682.4899999999998,0.9021394101876674,0.3088471849865952,0.40911528150134047,0.05037677739930741,0.022864541914814455,0.01330372866162073
64,none,162,96,40,126.02,0.7779012345679012,0.2839506172839506,0.32098765432098764,0.04686232422724297,0.019195531042077527,0.011733163178285223
64,display_only,2454,722,83,2026.4900000000007,0.8257905460472701,0.24612876935615322,0.29380603096984514,0.04659854668031063,0.016525918522760436,0.009900580344865679
64,mailer_only,3639,571,83,3930.289999999999,1.080046716130805,0.28744160483649356,0.3696070348996977,0.058104831683403614,0.019707550913015407,0.011765381415603212
64,both,1278,219,83,1398.4699999999998,1.0942644757433488,0.3286384976525822,0.4061032863849765,0.06067565751050781,0.02259347858181286,0.013720426322145709
65,none,108,82,30,44.95,0.41620370370370374,0.19444444444444445,0.19444444444444445,0.017308256429352367,0.008698491504864054,0.0048381124297174494
65,display_only,2251,694,76,1437.7800000000009,0.6387294535761887,0.22301199466903598,0.27232341181697023,0.03370966714474577,0.014991479305175645,0.00927306187604033
65,mailer_only,3251,425,87,4211.380000000001,1.2954106428791143,0.32051676407259305,0.4543217471547216,0.07111128195326305,0.024795490925354897,0.015195003172303278
65,both,900,187,75,816.66,0.9074,0.30333333333333334,0.37333333333333335,0.05037607089000981,0.020824338318174054,0.012599259813983299
66,none,205,109,48,116.91,0.5702926829268292,0.22439024390243903,0.24878048780487805,0.029216300193486637,0.012859871497044094,0.007873081910115553
66,display_only,2108,671,80,1210.1699999999996,0.5740844402277038,0.20066413662239088,0.23434535104364326,0.0320475568284835,0.013220293269123471,0.007498726989285262
66,mailer_only,4126,529,80,3787.55,0.9179714008725158,0.3031992244304411,0.4408628211342705,0.05353696431820912,0.02543078635752882,0.015251186858820957
66,both,1628,251,80,1340.2799999999997,0.8232678132678131,0.31203931203931207,0.3931203931203931,0.04378694954931782,0.021491971990585564,0.012463362965681395
67,none,117,83,36,43.35999999999999,0.3705982905982905,0.17094017094017094,0.19658119658119658,0.021644000404814224,0.011162934984005219,0.007459253983620849
