household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1505,1,0,0,0,0,0,17,16,7,0.7,330,0.6875,0.7093023255813954,12,16,20,63,32,0.4920634920634921
1506,1,1,1,1,1,1,7,23,15,0.75,289,1.0,0.9243697478991597,20,20,20,74,67,0.09459459459459463
1508,1,1,1,1,1,1,7,25,14,0.7,292,0.72,0.8214285714285714,19,19,20,57,48,0.1578947368421053
1509,1,0,0,0,0,0,9,42,18,1.0,309,0.4523809523809524,0.2546583850931677,18,20,20,92,59,0.3586956521739131
1510,1,1,1,1,1,1,12,243,15,1.0,414,0.9876543209876543,0.525911708253359,20,20,20,230,92,0.6
1511,1,1,1,1,1,1,11,20,14,0.875,421,1.0,0.8682170542635659,20,20,20,59,55,0.06779661016949157
1512,1,1,1,1,1,0,4,39,18,0.782608695652174,422,0.6153846153846154,0.3076923076923077,9,11,13,45,21,0.5333333333333333
1513,1,0,1,0,0,0,9,17,11,0.6111111111111112,402,0.6470588235294118,0.37777777777777777,2,2,3,23,4,0.8260869565217391
1514,1,0,0,0,0,0,14,7,6,0.46153846153846156,321,0.8571428571428571,0.84,8,8,8,29,17,0.4137931034482759
1515,1,0,0,0,0,0,8,26,13,0.6842105263157895,318,0.2692307692307692,0.013888888888888888,20,20,20,60,44,0.2666666666666667
1517,1,1,1,1,1,0,11,22,11,0.6875,304,0.6818181818181818,0.7767857142857143,15,15,18,41,33,0.19512195121951215
1518,1,0,0,0,0,0,9,14,10,0.5555555555555556,365,0.2857142857142857,0.25,14,16,17,43,34,0.2093023255813954
1519,1,0,0,0,0,0,6,6,6,0.2857142857142857,356,0.8333333333333334,0.7083333333333334,6,7,8,31,15,0.5161290322580645
1520,1,1,1,1,1,1,15,26,11,0.9166666666666666,335,0.7307692307692307,0.8521739130434782,15,17,18,46,33,0.28260869565217395
1521,1,0,0,0,0,0,13,18,5,0.35714285714285715,31762,0.4444444444444444,0.0,2,3,3,24,5,0.7916666666666666
1523,1,1,1,1,1,1,13,42,14,1.0,323,1.0,1.0,20,20,20,78,46,0.41025641025641024
1524,1,0,0,0,0,0,13,6,5,0.35714285714285715,346,0.6666666666666666,0.1509433962264151,9,9,10,33,21,0.36363636363636365
1526,1,1,1,1,1,0,11,28,14,0.875,324,0.6428571428571429,0.863905325443787,13,15,20,67,38,0.4328358208955224
1527,1,1,1,1,1,1,5,52,21,0.9545454545454546,361,0.9423076923076923,0.7137404580152672,20,20,20,155,130,0.16129032258064513
1528,1,1,1,1,1,0,8,39,17,0.8947368421052632,316,0.5128205128205128,0.6887755102040817,20,20,20,89,61,0.3146067415730337
