household_key,first_day,category_diversity,department_diversity,initial_baskets,initial_active_days,initial_sales,followup_baskets,followup_active_days,followup_sales,returned,z_category_diversity,z_initial_baskets,z_initial_sales,z_first_day,diversity_group
68,5,10,4,7,7,38.94,28,18,240.05000000000013,1,-0.8677251003640094,0.5521978682155793,-0.769333184748173,-1.6302172000379984,Q1
69,86,10,2,1,1,61.93,4,3,159.34,1,-0.8677251003640094,-1.434030658435868,-0.38363841642149654,0.545229182410673,Q1
70,8,4,2,1,1,6.97,0,0,0.0,0,-1.1448839984927603,-1.434030658435868,-2.1366028834979436,-1.5496451117991588,Q1
71,63,13,8,6,6,356.78000000000003,8,7,354.49,1,-0.7291456512996339,0.3608792935514903,1.0906934306032925,-0.07249016075376463,Q2
72,74,52,8,8,7,212.51000000000002,19,16,656.5,1,1.0723871865372474,0.7209528108435844,0.652749254187044,0.2229408294553142,Q4
73,59,13,5,5,3,49.3,18,17,172.28000000000003,1,-0.7291456512996339,0.14001820786671987,-0.5736825227513568,-0.1799196117388842,Q2
74,33,42,10,13,13,127.72999999999999,18,17,211.57999999999998,1,0.6104556896559957,1.353993556877214,0.22351596884488628,-0.8782110431421615,Q3
75,89,8,2,2,2,31.979999999999997,3,3,43.32000000000001,1,-0.9601113997402597,-0.8530960554590038,-0.9317714278160608,0.6258012706495126,Q1
76,44,29,6,3,2,106.32999999999998,1,1,4.0,1,0.00994474371036867,-0.44091639511014435,0.06927952908063188,-0.5827800529330827,Q3
77,5,61,11,7,7,435.6199999999999,9,9,781.8499999999998,1,1.4881255337303736,0.5521978682155793,1.25963674341292,-1.6302172000379984,Q4
78,88,4,2,2,2,23.480000000000004,6,6,111.72000000000003,1,-1.1448839984927603,-0.8530960554590038,-1.1846157933827017,0.5989439079032327,Q1
79,102,11,3,3,3,63.690000000000005,4,4,90.33,1,-0.8215319506758842,-0.44091639511014435,-0.3602380260380023,0.9749469863511513,Q1
80,53,35,8,4,4,132.43,8,8,259.86999999999995,1,0.2871036418391196,-0.12120501231222784,0.2539373974836145,-0.3410637882165636,Q3
81,48,56,8,4,3,435.23,24,16,1046.8799999999999,1,1.257159785289748,-0.12120501231222784,1.258878643128186,-0.475350601947963,Q4
82,81,6,5,4,4,65.08,6,6,82.7,1,-1.05249769911651,-0.12120501231222784,-0.3422026719445974,0.4109423686792735,Q1
83,40,14,2,5,4,48.099999999999994,7,6,101.53,1,-0.6829525016115088,0.14001820786671987,-0.5941666564422041,-0.6902095039182022,Q2
84,45,24,6,1,1,153.87000000000003,1,1,46.00000000000001,1,-0.22102100473025715,-1.434030658435868,0.3803482377726069,-0.5559226901868027,Q2
85,17,27,6,16,13,171.87999999999997,49,36,347.00999999999993,1,-0.08244155566588166,1.632172726698009,0.4736758919861869,-1.3079288470826398,Q3
86,68,41,8,3,3,246.10000000000005,4,3,264.63,1,0.5642625399678706,-0.44091639511014435,0.7767002241384762,0.061796652977634835,Q3
87,85,20,4,6,6,115.61,0,0,0.0,0,-0.4057936034827578,0.3608792935514903,0.1396299539267942,0.518371819664393,Q2
88,87,97,10,13,10,644.4500000000003,26,19,1189.6900000000005,1,3.1510789225028795,1.353993556877214,1.5912409947441393,0.5720865451569528,Q4
89,110,5,2,2,2,18.240000000000002,0,0,0.0,0,-1.0986908488046352,-0.8530960554590038,-1.3889520176473866,1.1898058883213904,Q1
90,89,1,1,1,1,44.99,3,2,132.98,1,-1.2834634475571358,-1.434030658435868,-0.6496780467508023,0.6258012706495126,Q1
91,56,40,7,25,19,139.35999999999996,15,13,279.90999999999997,1,0.5180693902797454,2.240928806227072,0.29689203559560773,-0.26049169997772387,Q3
92,101,27,8,4,4,78.96,4,4,81.58,1,-0.08244155566588166,-0.12120501231222784,-0.18045721185251773,0.9480896236048714,Q3
93,8,34,7,7,6,196.80000000000007,10,10,252.89,1,0.24091049215099447,0.5521978682155793,0.5879127065230064,-1.5496451117991588,Q3
94,87,6,2,2,2,60.980000000000004,1,1,11.450000000000001,1,-1.05249769911651,-0.8530960554590038,-0.3965427746561575,0.5720865451569528,Q1
95,88,61,10,40,17,364.6599999999998,35,27,486.87,1,1.4881255337303736,2.8935163905339514,1.1091751561273844,0.5989439079032327,Q4
96,21,24,6,6,5,121.71000000000001,16,13,301.81,1,-0.22102100473025715,0.3608792935514903,0.18288597405863935,-1.20049939609752,Q2
97,43,38,7,6,6,231.87,8,8,367.9,1,0.42568309090349515,0.3608792935514903,0.7263826446094188,-0.6096374156793625,Q3
98,1,13,3,6,6,61.84999999999999,5,4,21.11,1,-0.7291456512996339,0.3608792935514903,-0.38471756214801844,-1.737646651023118,Q2
99,86,136,16,60,22,1381.0700000000004,25,17,540.07,1,4.952611760339761,3.4627549202105388,2.23716103558646,0.545229182410673,Q4
100,6,15,5,2,1,68.42,0,0,0.0,0,-0.6367593519233836,-0.8530960554590038,-0.30037181195073853,-1.6033598372917186,Q2
