PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
826249,338,both_vs_additive,display+mailer-none,both,1,7,1,0.11873650157032509,0.11117582417582418,0.1001372973431797,0.08717948717948719,0.07348228663446055,0.06236943289901772,0.20403118269645748,0.10926495285844086,-0.007560677394500906,-0.012957810163692504,-0.01111285373544283,-0.09476622983801662,0,0
826249,340,both_vs_additive,display+mailer-none,both,1,10,1,-0.043540597231715654,0.027080032467532468,-0.048843557758031446,0.03248376623376623,-0.006559309921609389,0.013520010395010395,0.0017212684427671404,0.03519473725117059,0.07062062969924812,0.08132732399179768,0.020079320316619784,0.03347346880840345,1,1
826249,343,both_vs_additive,display+mailer-none,both,3,25,3,0.03692296985486937,0.031414024604055166,0.035110898083760854,0.025662058090920564,0.01847210673744198,0.015578589723286634,0.0631582008929135,0.045785008239438915,-0.005508945250814204,-0.00944883999284029,-0.002893517014155347,-0.01737319265347459,0,0
826249,367,both_vs_additive,display+mailer-none,both,8,25,8,0.022347038377968725,0.022661060159273848,0.017912248754370048,0.016821715381104548,0.009253406124029237,0.009023997108896214,0.0235072382924099,0.020941971953369838,0.00031402178130512243,-0.0010905333732654995,-0.00022940901513302317,-0.0025652663390400635,1,0
826249,381,both_vs_additive,display+mailer-none,both,2,27,2,0.026579533935550306,0.04176798783010825,0.013283611843819577,0.03338017701492853,0.007785805597137627,0.0206900602824894,0.03942401138969654,0.04448437835462671,0.015188453894557946,0.02009656517110895,0.012904254685351772,0.005060366964930167,1,1
826249,388,both_vs_additive,display+mailer-none,both,3,25,3,0.0068050600372102504,0.07374327913116781,-0.009818345241830423,0.06419492896239429,-0.009003840007630555,0.031624994115798194,-0.0275538388105378,0.06936983530554959,0.06693821909395756,0.07401327420422471,0.04062883412342875,0.09692367411608739,1,1
826249,389,both_vs_additive,display+mailer-none,both,4,12,4,0.05736349220348036,0.08039219875984582,0.04723541048022431,0.08297301826713592,0.038803374704875944,0.05073539032699157,0.04423119851603674,0.081541540646427,0.023028706556365464,0.03573760778691161,0.011932015622115627,0.037310342130390264,1,1
826249,406,both_vs_additive,display+mailer-none,both,1,26,1,0.026681257333102275,0.04534329423998436,0.017667720636189918,0.043979287511247495,0.008444371266634639,0.019725741815788702,0.029394305991887602,0.03605535877275637,0.018662036906882083,0.026311566875057577,0.011281370549154063,0.006661052780868766,1,1
826249,410,both_vs_additive,display+mailer-none,both,1,26,1,0.1375785982264964,0.05617129469456214,0.1073786433963723,0.04841233093465769,0.05642031160132516,0.024814298955307415,0.16566660637049982,0.07567414451250344,-0.08140730353193426,-0.05896631246171462,-0.03160601264601774,-0.08999246185799638,0,0
826249,412,both_vs_additive,display+mailer-none,both,1,9,1,0.04559827127732185,0.04116100436275875,0.050099172222495235,0.03616100436275874,0.03204310264062122,0.022238407504107986,0.03357792014641069,0.07277393467313346,-0.004437266914563101,-0.013938167859736492,-0.009804695136513233,0.03919601452672277,0,0
826249,424,both_vs_additive,display+mailer-none,both,1,15,1,0.10311646774873912,0.05511136297253945,0.09093535304883639,0.05699397769986005,0.06965415908009819,0.048364713892413744,0.0941183367794137,0.04692707226378044,-0.04800510477619967,-0.03394137534897634,-0.02128944518768444,-0.047191264515633255,0,0
826249,31582,both_vs_additive,display+mailer-none,both,1,14,1,-0.015994974722247465,0.04152380952380952,-0.01992401537856084,0.03928571428571428,-0.024086970391149966,0.03142987964416536,-0.13970123696806547,0.06504103767754617,0.057518784246056984,0.05920972966427512,0.05551685003531533,0.20474227464561162,1,1
826249,31642,both_vs_additive,display+mailer-none,both,1,23,1,0.04464053245931804,0.028985576970702833,0.03892913959327622,0.02392285441484526,0.026526700144172043,0.01705561106071848,0.09529904810370422,0.0983091498888286,-0.015654955488615205,-0.015006285178430962,-0.009471089083453562,0.0030101017851243833,0,0
826385,381,both_vs_additive,display+mailer-none,both,2,1,1,0.044583333333333336,0.0,0.022291666666666668,0.0,0.011846496106785316,0.0,0.10297355868658271,0.0,-0.044583333333333336,-0.022291666666666668,-0.011846496106785316,-0.10297355868658271,0,0
826385,406,both_vs_additive,display+mailer-none,both,1,4,1,-0.04777777777777778,0.02305555555555556,-0.037037037037037035,0.009259259259259259,-0.015625,0.004629629629629629,-0.04950115118956255,0.035129796839729124,0.07083333333333333,0.046296296296296294,0.02025462962962963,0.08463094802929168,1,1
827047,330,both_vs_additive,display+mailer-none,both,1,6,1,0.023241914309583483,0.0,0.010593945180411344,0.0,0.004564952128241802,0.0,0.11756918961011062,0.0,-0.023241914309583483,-0.010593945180411344,-0.004564952128241802,-0.11756918961011062,0,0
827180,311,both_vs_additive,display+mailer-none,both,1,1,1,-0.013153846153846127,0.0,-0.023076923076923078,0.0,-0.0018115942028985518,0.0,-0.3712536913732308,0.0,0.013153846153846127,0.023076923076923078,0.0018115942028985518,0.3712536913732308,1,1
