household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1112,display_only_vs_none,6,1.0,1,0.15384615384615385,1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0,0.0,0.0,0.0,0.026171438105598695,0.007455165327337752
1112,mailer_only_vs_none,6,1.0,1,0.15384615384615385,1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0,0.0,0.0,0.0,0.03505704365079365,0.013416005291005291
1113,both_vs_additive,20,0.9999999999999999,2,0.1285714285714286,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1113,both_vs_none,20,0.9999999999999999,2,0.1285714285714286,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1113,display_only_vs_none,20,0.9999999999999999,3,0.15714285714285717,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1113,mailer_only_vs_none,20,0.9999999999999999,3,0.2,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0.0,0.0,0.0,0.01003608869183632,0.020952216853171706
1116,both_vs_additive,20,1.0000000000000002,4,0.2346938775510204,1,0.04081632653061224,0.04081632653061224,0.0,0.04081632653061224,0.0,0,0.0,0.0,0.0,0.011671364168835293,0.017323537206823055
1116,both_vs_none,20,1.0000000000000002,4,0.2346938775510204,1,0.04081632653061224,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005561485543565982,0.003282490860840013
1116,display_only_vs_none,20,1.0,5,0.26530612244897955,1,0.04081632653061224,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0038232147578032526,-0.008058654834500863
1116,mailer_only_vs_none,20,1.0,5,0.26530612244897955,2,0.07142857142857142,0.030612244897959183,0.030612244897959183,0.030612244897959183,0.030612244897959183,0,0.0,0.0,0.0,0.00971438050693375,0.001978315961692718
1117,both_vs_additive,12,0.9999999999999998,4,0.5,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0,0.0,0.0,0.0,0.030309441978264528,0.02224906074547422
1117,both_vs_none,12,0.9999999999999998,4,0.5,1,0.05263157894736842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.009896729395254995,-0.0022554718493841587
1117,display_only_vs_none,12,0.9999999999999998,4,0.5,1,0.05263157894736842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.020609755031117248,-0.01295828469122752
1117,mailer_only_vs_none,12,0.9999999999999998,4,0.5,1,0.05263157894736842,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.02006837606837607,-0.009401709401709403
1119,both_vs_additive,18,0.9999999999999994,2,0.1276595744680851,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
